Name,Address,City,State,Zip Code,Country,Latitude,Longitude,categories
Arby's,9575 Dyer St,El Paso,TX,79924,US,31.88498,-106.41861200000001,Fast Food Restaurants
YUM Brands,2202 N Richmond Rd,Wharton,TX,77488,US,29.331020000000002,-96.09456999999999,Fast Food Restaurants
Burger King,3120 W Fm 120,Denison,TX,75020,US,33.762134,-96.581587,Fast Food Restaurants
McDonald's,1705 Expressway 83,Penitas,TX,78576,US,26.243395,-98.4423,Fast Food Restaurants
Burger King,2280 E Garrison St,Eagle Pass,TX,78852,US,28.705740000000002,-100.48395,Fast Food Restaurant
Chick-Fil-A,2207 Veterans Blvd,Del Rio,TX,78840,US,29.38843,-100.90521,Fast Food Restaurants
Burger King,2208 Highway 21 E,Bryan,TX,77803,US,30.69488984,-96.36236943,Fast Food Restaurant
Arby's,801 Ne Alsbury Blvd,Burleson,TX,76028,US,32.563248,-97.322393,"Restaurant, Fast Food Restaurant, and Sandwich Place"
Chick-Fil-A,1105 N Burleson Blvd,Burleson,TX,76028,US,32.566362,-97.319315,Fast Food Restaurant
Burger King,5301 Bellaire Blvd,Bellaire,TX,77401,US,29.70529415,-95.4730184,Fast Food Restaurant and Burger Joint
Arby's,3824 S Clack St,Abilene,TX,79606,US,32.405234,-99.764985,Fast Food Restaurant
Dairy Queen,90571 Main St,Pettus,TX,78146,US,28.847140999999997,-97.44154,Fast Food Restaurants
YUM Brands,210 W Sinton St,Sinton,TX,78387,US,28.03704,-97.51219,Fast Food Restaurants
McDonald's,1890 Bethlehem Pike,Flourtown,PA,19031,US,40.111177000000005,-75.21414399999999,Fast Food Restaurant and Playground
Arby's,707 Washington Ave,Chestertown,MD,21620,US,39.224652,-76.06993,Fast Food
Arby's,707 Washington Ave,Chestertown,MD,21620,US,39.224652,-76.06993,Fast Food Restaurant
Arby's,8586 S Orange Blossom Trl,Orlando,FL,32809,US,28.440040000000003,-81.4037,Fast Food
McDonald's,6385 Dobbin Rd,Columbia,MD,21045,US,39.196115999999996,-76.82101,Fast food restaurants
Burger King,6241 Washington Blvd,Elkridge,MD,21075,US,39.208926,-76.724769,Fast Food Restaurant
Arby's,505 S Oxford Valley Rd,Fairless Hills,PA,19030,US,40.169035,-74.849233,Fast Food
Arby's,505 S Oxford Valley Rd,Fairless Hills,PA,19030,US,40.169035,-74.849233,"Fast Food Restaurant, American Restaurant, and Sandwich Place"
Arby's,888 E Main St,Ephrata,PA,17522,US,40.164651,-76.154297,Fast Food Restaurants
YUM Brands,1247 Theatre Dr,Ottumwa,IA,52501,US,41.01903,-92.43745,Fast Food Restaurants
Arby's,470 Cummings St,Abingdon,VA,24210,US,36.705143,-81.974501,Fast Food
Arby's,470 Cummings St,Abingdon,VA,24210,US,36.705143,-81.974501,Fast Food Restaurants
Burger King,285 Jamesway Rd,Ebensburg,PA,15931,US,40.47425,-78.74575,Fast Food Restaurants
Arby's,4105 Peach St,Erie,PA,16509,US,42.092031,-80.084087,Fast Food Restaurant
Arby's,3720 Pine Ave,Erie,PA,16504,US,42.108354999999996,-80.050799,"American Restaurant, Fast Food Restaurant, and Sandwich Place"
Burger King,4868 Houston Rd,Florence,KY,41042,US,39.019712,-84.628729,Fast Food Restaurant
Burger King,105 S 3rd St,Coopersburg,PA,18036,US,40.509285999999996,-75.385827,Fast Food Restaurant and Burger Joint
YUM Brands,453 Valley Brook Rd Ste 200,Canonsburg,PA,15317,US,40.28079,-80.08363,Fast Food Restaurants
Burger King,1208 W Front St,Berwick,PA,18603,US,41.049741,-76.252443,Fast Food Restaurants
YUM Brands,4960 Library Rd,Bethel Park,PA,15102,US,40.34341,-80.02729000000001,Fast Food Restaurants
Burger King,9 Hudson Hollow Rd,Frankfort,KY,40601,US,38.178962,-84.89459599999999,Fast Food Restaurant
YUM Brands,1110 N 90th St,Seattle,WA,98103,US,47.69445,-122.34243000000001,Fast Food
Arby's,1518 S Washington St,Crawfordsville,IN,47933,US,40.021575,-86.90334399999999,"Fast Food Restaurant, American Restaurant, and Sandwich Place"
YUM Brands,3921 S 76th St,Milwaukee,WI,53220,US,42.97331,-88.00820999999999,Fast Food Restaurants
YUM Brands,1607 Elkhart Rd,Goshen,IN,46526,US,41.591667,-85.855147,Fast Food Restaurants
Arby's,909 Hyatt St,Gaffney,SC,29341,US,35.077732,-81.70352700000001,Fast Food Restaurants
Burger King,2460 Mountain City Hwy,Elko,NV,89801,US,40.83757,-115.78953999999999,Fast Food Restaurants
McDonald's,313 Middle Country Rd,Coram,NY,11727,US,40.869655,-72.99981700000001,Fast food restaurants
Burger King,778 Brookway Blvd,Brookhaven,MS,39601,US,31.579563,-90.459029,Fast Food Restaurant
Burger King,1104 Sunrise Hwy,Amityville,NY,11701,US,40.689896000000005,-73.408119,Fast food restaurants
McDonald's,425 E Main St,Pickens,SC,29671,US,34.884512,-82.70476,Fast Food Restaurant
McDonald's,106 Garner Rd,Spartanburg,SC,29303,US,34.966901,-81.929552,Fast Food
Burger King,2619 Brandermill Blvd,Gambrills,MD,21054,US,39.037925,-76.678372,Fast Food Restaurant and Burger Joint
McDonald's,613 E 4th Ave,Red Springs,NC,28377,US,34.811406,-79.174756,Fast Food Restaurant
Domino's Pizza,104 School St,Glen Cove,NY,11542,US,40.8672,-73.6307,Fast Food Restaurants
Dairy Queen,2789 Interstate Highway 20,Van,TX,75790,US,32.499851,-95.596225,Ice Cream Shop and Fast Food Restaurant
Dairy Queen,2789 Interstate Highway 20,Van,TX,75790,US,32.499851,-95.596225,Fast Food Restaurants
Dairy Queen,111 State Highway 239 E,Tivoli,TX,77990,US,28.453428999999996,-96.888108,Fast Food Restaurants
Dairy Queen,1301 N Dickinson Dr,Rusk,TX,75785,US,31.802884000000002,-95.148673,Fast Food
Dairy Queen,300 S Main St,Borger,TX,79007,US,35.663865,-101.389964,Fast Food Restaurants
Dairy Queen,900 Highway 80,San Marcos,TX,78666,US,29.689434000000002,-97.667085,Fast Food Restaurant
Dairy Queen,849 E Commerce St,San Antonio,TX,78205,US,29.423059999999996,-98.484173,Fast Food Restaurant
Dairy Queen,2282 SE Military Dr,San Antonio,TX,78223,US,29.351346000000003,-98.458339,Ice Cream Shop and Fast Food Restaurant
Hardees,2188 Great Neck Sq,Virginia Beach,VA,23454,US,36.875281,-76.038915,Fast Food Restaurants
Hardees,505 W 21st St,Norfolk,VA,23517,US,36.869021000000004,-76.291956,Fast Food Restaurants
Hardees,5000 W Broad St,Richmond,VA,23230,US,37.585167,-77.496783,Fast Food Restaurant
Hardees,3011 Hershberger Rd NW,Roanoke,VA,24017,US,37.303452,-79.983783,Fast Food Restaurant
Hardees,850 London Blvd,Portsmouth,VA,23704,US,36.836845000000004,-76.308136,Fast Food Restaurant
Hardees,1032 E Main St,Pulaski,VA,24301,US,37.048369,-80.759749,Fast Food Restaurant
